Country,Code,Year,Precipitation mm per year
Albania,ALB,1962,1485
Albania,ALB,1967,1485
Albania,ALB,1972,1485
Albania,ALB,1977,1485
Albania,ALB,1982,1485
Albania,ALB,1987,1485
Albania,ALB,1992,1485
Albania,ALB,1997,1485
Albania,ALB,2002,1485
Albania,ALB,2007,1485
Albania,ALB,2012,1485
Albania,ALB,2014,1485
Armenia,ARM,1992,562
Armenia,ARM,1997,562
Armenia,ARM,2002,562
Armenia,ARM,2007,562
Armenia,ARM,2012,562
Armenia,ARM,2014,562
Austria,AUT,1962,1110
Austria,AUT,1967,1110
Austria,AUT,1972,1110
Austria,AUT,1977,1110
Austria,AUT,1982,1110
Austria,AUT,1987,1110
Austria,AUT,1992,1110
Austria,AUT,1997,1110
Austria,AUT,2002,1110
Austria,AUT,2007,1110
Austria,AUT,2012,1110
Austria,AUT,2014,1110
Azerbaijan,AZE,1992,447
Azerbaijan,AZE,1997,447
Azerbaijan,AZE,2002,447
Azerbaijan,AZE,2007,447
Azerbaijan,AZE,2012,447
Azerbaijan,AZE,2014,447
Belarus,BLR,1992,618
Belarus,BLR,1997,618
Belarus,BLR,2002,618
Belarus,BLR,2007,618
Belarus,BLR,2012,618
Belarus,BLR,2014,618
Belgium,BEL,1962,847
Belgium,BEL,1967,847
Belgium,BEL,1972,847
Belgium,BEL,1977,847
Belgium,BEL,1982,847
Belgium,BEL,1987,847
Belgium,BEL,1992,847
Belgium,BEL,1997,847
Belgium,BEL,2002,847
Belgium,BEL,2007,847
Belgium,BEL,2012,847
Belgium,BEL,2014,847
Bosnia and Herzegovina,BIH,1992,1028
Bosnia and Herzegovina,BIH,1997,1028
Bosnia and Herzegovina,BIH,2002,1028
Bosnia and Herzegovina,BIH,2007,1028
Bosnia and Herzegovina,BIH,2012,1028
Bosnia and Herzegovina,BIH,2014,1028
Bulgaria,BGR,1962,608
Bulgaria,BGR,1967,608
Bulgaria,BGR,1972,608
Bulgaria,BGR,1977,608
Bulgaria,BGR,1982,608
Bulgaria,BGR,1987,608
Bulgaria,BGR,1992,608
Bulgaria,BGR,1997,608
Bulgaria,BGR,2002,608
Bulgaria,BGR,2007,608
Bulgaria,BGR,2012,608
Bulgaria,BGR,2014,608
Croatia,HRV,1992,1113
Croatia,HRV,1997,1113
Croatia,HRV,2002,1113
Croatia,HRV,2007,1113
Croatia,HRV,2012,1113
Croatia,HRV,2014,1113
Cyprus,CYP,1962,498
Cyprus,CYP,1967,498
Cyprus,CYP,1972,498
Cyprus,CYP,1977,498
Cyprus,CYP,1982,498
Cyprus,CYP,1987,498
Cyprus,CYP,1992,498
Cyprus,CYP,1997,498
Cyprus,CYP,2002,498
Cyprus,CYP,2007,498
Cyprus,CYP,2012,498
Cyprus,CYP,2014,498
Czech Republic,CZE,1997,677
Czech Republic,CZE,2002,677
Czech Republic,CZE,2007,677
Czech Republic,CZE,2012,677
Czech Republic,CZE,2014,677
Denmark,DNK,1962,703
Denmark,DNK,1967,703
Denmark,DNK,1972,703
Denmark,DNK,1977,703
Denmark,DNK,1982,703
Denmark,DNK,1987,703
Denmark,DNK,1992,703
Denmark,DNK,1997,703
Denmark,DNK,2002,703
Denmark,DNK,2007,703
Denmark,DNK,2012,703
Denmark,DNK,2014,703
Estonia,EST,1992,626
Estonia,EST,1997,626
Estonia,EST,2002,626
Estonia,EST,2007,626
Estonia,EST,2012,626
Estonia,EST,2014,626
Finland,FIN,1962,536
Finland,FIN,1967,536
Finland,FIN,1972,536
Finland,FIN,1977,536
Finland,FIN,1982,536
Finland,FIN,1987,536
Finland,FIN,1992,536
Finland,FIN,1997,536
Finland,FIN,2002,536
Finland,FIN,2007,536
Finland,FIN,2012,536
Finland,FIN,2014,536
France,FRA,1962,867
France,FRA,1967,867
France,FRA,1972,867
France,FRA,1977,867
France,FRA,1982,867
France,FRA,1987,867
France,FRA,1992,867
France,FRA,1997,867
France,FRA,2002,867
France,FRA,2007,867
France,FRA,2012,867
France,FRA,2014,867
Georgia,GEO,1992,1026
Georgia,GEO,1997,1026
Georgia,GEO,2002,1026
Georgia,GEO,2007,1026
Georgia,GEO,2012,1026
Georgia,GEO,2014,1026
Germany,DEU,1962,700
Germany,DEU,1967,700
Germany,DEU,1972,700
Germany,DEU,1977,700
Germany,DEU,1982,700
Germany,DEU,1987,700
Germany,DEU,1992,700
Germany,DEU,1997,700
Germany,DEU,2002,700
Germany,DEU,2007,700
Germany,DEU,2012,700
Germany,DEU,2014,700
Greece,GRC,1962,652
Greece,GRC,1967,652
Greece,GRC,1972,652
Greece,GRC,1977,652
Greece,GRC,1982,652
Greece,GRC,1987,652
Greece,GRC,1992,652
